rgn_id,port,stock,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
2,TOCOPILLA,JIBIA O CALAMAR ROJO,0,38,19,146,413,265,29,112,102,37,118,117,14,0,0
2,TOCOPILLA,JUREL,17822,24434,17562,22394,37857,24695,12089,14217,15064,8615,37899,5475,1236,0,0
2,TOCOPILLA,LANGOSTINO ENANO,0,0,0,37,71,3,0,0,0,1,31,40,0,0,0
2,TOCOPILLA,MOLUSCO NO CLASIFICADO,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
2,TOCOPILLA,PAMPANITO,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,TOCOPILLA,PEJERREY DE MAR,0,5,26,105,166,14,114,34,131,21,9,7,50,0,0
2,TOCOPILLA,PESCADO NO CLASIFICADO,0,0,0,7,248,117,25,0,0,0,739,100,0,0,0
2,TOCOPILLA,SARDINA ESPAÑOLA,1227,1041,183,13,0,0,0,0,0,0,0,0,0,0,0
3,CALDERA,ALBACORA O PEZ ESPADA,3,15,2,8,5,4,0,25,0,0,4,5,0,0,0
3,CALDERA,ANCHOVETA,21778,5558,195,13912,7557,0,0,0,0,0,0,0,0,0,0
3,CALDERA,ATUN ALETA AMARILLA,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
3,CALDERA,ATUN ALETA LARGA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,CALDERA,AZULEJO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,CALDERA,BACALAO DE PROFUNDIDAD,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0
3,CALDERA,BESUGO,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0
3,CALDERA,CABALLA,1623,322,200,0,0,0,0,0,132,18,167,7,0,0,0
3,CALDERA,CAMARON NAILON,1959,312,0,216,176,74,45,143,0,0,0,0,0,0,0
3,CALDERA,CENTOLLA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,CALDERA,CENTOLLA DEL NORTE,143,59,68,0,0,0,0,0,0,0,0,0,0,0,0
3,CALDERA,CENTOLLON DEL NORTE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,CALDERA,JIBIA O CALAMAR ROJO,0,0,0,20,144,0,0,0,30,0,0,0,17,0,0
3,CALDERA,JUREL,3678,855,518,0,0,0,0,0,2755,50,423,68,0,0,0
3,CALDERA,LANGOSTA ENANA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,CALDERA,LANGOSTINO AMARILLO,48,29,1,1,1,3,1,2,0,0,0,0,0,0,0
3,CALDERA,LANGOSTINO COLORADO,1382,378,190,146,16,24,24,83,0,0,0,0,0,0,0
3,CALDERA,MERLUZA COMUN,1,19,4,6,4,3,2,9,0,0,0,0,0,0,0
3,CALDERA,PESCADO NO CLASIFICADO,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3,CALDERA,SARDINA ESPAÑOLA,1191,616,19,0,0,0,0,0,0,0,0,0,0,0,0
3,CALDERA,TIBURON O MARRAJO,1,6,1,1,4,8,2,4,6,7,10,0,0,0,0
3,CALDERA,VINCIGUERRIA,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0
3,CHAÑARAL,CAMARON NAILON,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
3,CHAÑARAL,CENTOLLA DEL NORTE,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,CHAÑARAL,JIBIA O CALAMAR ROJO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,CHAÑARAL,LANGOSTINO COLORADO,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0
3,CHAÑARAL,MERLUZA COMUN,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
3,HUASCO,ANCHOVETA,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
3,HUASCO,BACALAO DE PROFUNDIDAD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,HUASCO,BESUGO,0,0,3,0,1,0,0,1,1,0,0,0,0,0,0
3,HUASCO,CAMARON NAILON,168,102,98,125,72,21,14,102,79,58,6,10,0,0,0
