rgn_id,CALETA,stock,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,CARAMUCHO,PEJESAPO,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1,CARAMUCHO,PIURE,0,2,0,0,0,0,1,3,4,0,0,0,0,0,0
1,CARAMUCHO,PULPO,1,28,6,0,8,1,1,0,1,0,7,23,1,12,45
1,CARAMUCHO,REINETA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,CARAMUCHO,SARGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CARAMUCHO,TOMOYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CARAMUCHO,VIEJA O MULATA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAVANCHA,ACHA O HACHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAVANCHA,ALBACORA O PEZ ESPADA,0,0,1,1,7,6,5,116,166,155,111,43,30,42,78
1,CAVANCHA,ALMEJA,1,5,7,3,2,0,0,0,0,0,0,0,1,0,0
1,CAVANCHA,APAÑADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAVANCHA,ATUN ALETA AMARILLA,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0
1,CAVANCHA,ATUN OJOS GRANDES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAVANCHA,AZULEJO,0,0,1,4,8,9,9,5,1,1,1,3,2,13,19
1,CAVANCHA,BACALAO DE PROFUNDIDAD,9,16,2,0,5,17,13,15,13,7,6,9,8,6,0
1,CAVANCHA,BILAGAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAVANCHA,BONITO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAVANCHA,BRECA O BILAGAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,CAVANCHA,CABALLA,0,0,1,14,4,2,2,4,0,0,0,0,0,0,0
1,CAVANCHA,CABINZA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,CAVANCHA,CABRILLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAVANCHA,CABRILLA COMUN,2,5,1,1,1,1,1,0,0,0,0,0,0,0,0
1,CAVANCHA,CARACOL LOCATE,4,19,0,9,9,3,0,0,0,0,1,0,22,0,0
1,CAVANCHA,CENTOLLA DEL NORTE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAVANCHA,CHASCON O HUIRO NEGRO,0,281,1094,1144,0,81,181,0,0,0,0,0,23,0,0
1,CAVANCHA,CHOLGA,7,21,9,4,11,1,2,0,0,9,5,0,0,0,0
1,CAVANCHA,CHORO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAVANCHA,COJINOBA DEL NORTE,7,15,6,2,2,1,2,1,1,0,1,1,1,2,0
1,CAVANCHA,CONGRIO COLORADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAVANCHA,CONGRIO DORADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAVANCHA,CONGRIO NEGRO,5,9,1,1,0,1,0,0,0,0,0,0,0,1,0
1,CAVANCHA,CORVINA,3,7,2,1,3,1,1,0,1,0,0,0,0,1,0
1,CAVANCHA,CULENGUE,1,6,5,4,0,0,0,0,0,0,0,0,0,0,0
1,CAVANCHA,DORADO,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0
1,CAVANCHA,DORADO DE ALTURA,0,0,0,0,0,48,0,0,0,25,43,0,0,0,0
1,CAVANCHA,ERIZO,4,18,10,3,1,0,0,0,0,0,9,0,3,0,0
1,CAVANCHA,HUIRO PALO,0,219,211,245,0,0,0,0,0,0,0,0,16,0,0
1,CAVANCHA,JAIBA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,CAVANCHA,JAIBA PELUDA O PACHONA,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,CAVANCHA,JIBIA O CALAMAR ROJO,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,CAVANCHA,JUREL,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,CAVANCHA,LAPA,7,27,10,6,2,0,0,0,0,0,6,0,0,0,0
1,CAVANCHA,LENGUADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAVANCHA,LENGUADO DE OJOS CHICOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAVANCHA,LENGUADO FINO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAVANCHA,LOCO,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
1,CAVANCHA,MARLIN,0,0,0,0,0,0,0,0,1,5,3,0,0,1,5
1,CAVANCHA,PALOMETA,1,2,23,27,48,0,48,46,0,0,0,0,0,0,0
1,CAVANCHA,PEJEPERRO,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0
1,CAVANCHA,PEJERREY DE MAR,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
1,CAVANCHA,PEJESAPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAVANCHA,PEJEZORRO,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
1,CAVANCHA,PESCADO NO CLASIFICADO,0,0,0,0,0,0,2,0,1,3,8,1,2,0,1
1,CAVANCHA,PEZ SOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAVANCHA,PIURE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
