REGION,PORT,SPECIES,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
3,CALDERA,ATUN ALETA LARGA,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3,CALDERA,AZULEJO, -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   , -   , -   , -   , -   
3,CALDERA,BACALAO DE PROFUNDIDAD,2,1,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3,CALDERA,BESUGO,1, -   , -   , -   , -   ,1, -   ,3, -   , -   , -   , -   , -   , -   , -   
3,CALDERA,CABALLA,"1,623",322,200, -   , -   , -   , -   , -   ,132,18,167,7, -   , -   , -   
3,CALDERA,CAMARON NAILON,"1,959",312, -   ,216,176,74,45,143, -   , -   , -   , -   , -   , -   , -   
3,CALDERA,CENTOLLA, -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3,CALDERA,CENTOLLA DEL NORTE,143,59,68, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3,CALDERA,CENTOLLON DEL NORTE, -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3,CALDERA,JIBIA O CALAMAR ROJO, -   , -   , -   ,20,144, -   , -   , -   ,30, -   , -   , -   ,17, -   , -   
3,CALDERA,JUREL,"3,678",855,518, -   , -   , -   , -   , -   ,"2,755",50,423,68, -   , -   , -   
3,CALDERA,LANGOSTA ENANA,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3,CALDERA,LANGOSTINO AMARILLO,48,29,1,1,1,3,1,2, -   , -   , -   , -   , -   , -   , -   
3,CALDERA,LANGOSTINO COLORADO,"1,382",378,190,146,16,24,24,83, -   , -   , -   , -   , -   , -   , -   
3,CALDERA,MERLUZA COMUN,1,19,4,6,4,3,2,9, -   , -   , -   , -   , -   , -   , -   
3,CALDERA,PESCADO NO CLASIFICADO, -   , -   , -   ,1, -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   
3,CALDERA,SARDINA ESPAÑOLA,"1,191",616,19, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3,CALDERA,TIBURON O MARRAJO,1,6,1,1,4,8,2,4,6,7,10, -   , -   , -   , -   
3,CALDERA,VINCIGUERRIA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,61, -   , -   
3,CHAÑARAL,CAMARON NAILON, -   , -   ,28, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3,CHAÑARAL,CENTOLLA DEL NORTE,4,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3,CHAÑARAL,JIBIA O CALAMAR ROJO, -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3,CHAÑARAL,LANGOSTINO COLORADO, -   , -   ,313, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3,CHAÑARAL,MERLUZA COMUN, -   , -   ,7, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3,HUASCO,ANCHOVETA, -   , -   , -   , -   , -   , -   , -   , -   ,14, -   , -   , -   , -   , -   , -   
